Partners,Span,Inns,NO,RunsDescending,High,Ave,Overs,RR,100,50
"Mahmudullah, Shuvagata Hom",2016-2016,2,0,4,4,2,1.3,2.66,0,0
"Mushfiqur Rahim, Shamsur Rahman",2013-2013,1,0,4,4,4,0.2,12,0,0
"Nazmus Sadat, Shahriar Nafees",2006-2006,1,0,4,4,4,0.3,8,0,0
"Shamsur Rahman, Ziaur Rahman",2013-2013,1,0,4,4,4,0.2,12,0,0
"Abdur Razzak, Elias Sunny",2012-2012,1,1,3,3*,-,0.3,6,0,0
"Arafat Sunny, Mustafizur Rahman",2015-2015,2,0,3,2,1.5,1.3,2,0,0
"Imrul Kayes, Naeem Islam",2011-2011,1,0,3,3,3,1.4,1.8,0,0
"Jahurul Islam, Nasir Hossain",2012-2012,1,0,3,3,3,0.3,6,0,0
"Junaid Siddique, Mahmudullah",2009-2009,1,0,3,3,3,0.4,4.5,0,0
"Mushfiqur Rahim, Syed Rasel",2007-2007,1,0,3,3,3,1.2,2.25,0,0
"Nazimuddin, Shakib Al Hasan",2008-2008,1,0,3,3,3,0.3,6,0,0
"Abdur Razzak, Mehrab Hossain jnr",2008-2008,1,0,2,2,2,0.3,4,0,0
"Anamul Haque, Mohammad Mithun",2014-2014,1,0,2,2,2,0.3,4,0,0
"Anamul Haque, Mominul Haque",2014-2014,1,0,2,2,2,0.4,3,0,0
"Dhiman Ghosh, Nazimuddin",2008-2008,1,0,2,2,2,0.5,2.4,0,0
"Elias Sunny, Shafiul Islam",2012-2012,1,0,2,2,2,0.2,6,0,0
"Imrul Kayes, Soumya Sarkar",2016-2016,1,0,2,2,2,1,2,0,0
"Mahmudullah, Mominul Haque",2013-2013,1,0,2,2,2,0.1,12,0,0
"Alok Kapali, Imrul Kayes",2011-2011,1,0,1,1,1,1,1,0,0
"Al-Amin Hossain, Mustafizur Rahman",2015-2015,1,1,1,1*,-,0.2,3,0,0
"Al-Amin Hossain, Sohag Gazi",2014-2014,1,0,1,1,1,0.2,3,0,0
"Anamul Haque, Imrul Kayes",2015-2015,1,0,1,1,1,1.1,0.85,0,0
"Anamul Haque, Mashrafe Mortaza",2015-2015,1,0,1,1,1,0.3,2,0,0
"Arafat Sunny, Liton Das",2015-2015,1,0,1,1,1,0.2,3,0,0
"Mushfiqur Rahim, Shahadat Hossain",2009-2009,1,1,1,1*,-,0.1,6,0,0
"Naeem Islam, Suhrawadi Shuvo",2010-2010,1,1,1,1*,-,0.3,2,0,0
"Nasir Hossain, Shafiul Islam",2011-2012,2,0,1,1,0.5,0.4,1.5,0,0
"Abdur Razzak, Shahadat Hossain",2008-2008,1,0,0,0,0,0.1,0,0,0
"Aftab Ahmed, Mashrafe Mortaza",2007-2007,1,0,0,0,0,0.1,0,0,0
"Anamul Haque, Shamsur Rahman",2014-2014,1,0,0,0,0,0.1,0,0,0
"Mominul Haque, Shakib Al Hasan",2014-2014,1,0,0,0,0,0.1,0,0,0
"Naeem Islam, Tamim Iqbal",2009-2009,1,0,0,0,0,0.3,0,0,0
"Nasir Hossain, Rony Talukdar",2015-2015,1,0,0,0,0,0.3,0,0,0
"Nasir Hossain, Sohag Gazi",2013-2013,1,0,0,0,0,0.1,0,0,0
"Rubel Hossain, Sabbir Rahman",2014-2014,1,0,0,0,0,0.2,0,0,0
